drug1,drug2,cell,label
Amifostine,Anastrozole,HS 578T,0
Amifostine,Anastrozole,HT29,0
Amifostine,Anastrozole,IGROV1,0
Amifostine,Anastrozole,MCF7,0
Amifostine,Anastrozole,NCI-H460,0
Amifostine,Anastrozole,PC-3,1
Amifostine,Anastrozole,RPMI-8226,1
Amifostine,Anastrozole,SK-MEL-2,1
Amifostine,Anastrozole,T-47D,0
Amifostine,Anastrozole,UO-31,0
Amifostine,Busulfan,HS 578T,0
Amifostine,Busulfan,HT29,1
Amifostine,Busulfan,IGROV1,0
Amifostine,Busulfan,MCF7,0
Amifostine,Busulfan,NCI-H460,0
Amifostine,Busulfan,PC-3,0
Amifostine,Busulfan,RPMI-8226,0
Amifostine,Busulfan,SK-MEL-2,0
Amifostine,Busulfan,T-47D,0
Amifostine,Busulfan,UO-31,0
Amifostine,Celecoxib,HS 578T,1
Amifostine,Celecoxib,HT29,1
Amifostine,Celecoxib,IGROV1,0
Amifostine,Celecoxib,MCF7,0
Amifostine,Celecoxib,NCI-H460,0
Amifostine,Celecoxib,PC-3,0
Amifostine,Celecoxib,RPMI-8226,0
Amifostine,Celecoxib,SK-MEL-2,1
Amifostine,Celecoxib,T-47D,0
Amifostine,Celecoxib,UO-31,0
Amifostine,Chlorambucil,HS 578T,0
Amifostine,Chlorambucil,HT29,0
Amifostine,Chlorambucil,IGROV1,0
Amifostine,Chlorambucil,LOX IMVI,0
Amifostine,Chlorambucil,MCF7,0
Amifostine,Chlorambucil,NCI-H460,0
Amifostine,Chlorambucil,PC-3,0
Amifostine,Chlorambucil,RPMI-8226,1
Amifostine,Chlorambucil,SK-MEL-2,0
Amifostine,Chlorambucil,T-47D,0
Amifostine,Chlorambucil,UO-31,0
Amifostine,Cyclophosphamide,HS 578T,1
Amifostine,Cyclophosphamide,HT29,0
Amifostine,Cyclophosphamide,IGROV1,0
Amifostine,Cyclophosphamide,LOX IMVI,1
Amifostine,Cyclophosphamide,MCF7,0
Amifostine,Cyclophosphamide,NCI-H460,1
Amifostine,Cyclophosphamide,PC-3,1
Amifostine,Cyclophosphamide,RPMI-8226,0
Amifostine,Cyclophosphamide,SK-MEL-2,1
Amifostine,Cyclophosphamide,T-47D,1
Amifostine,Cyclophosphamide,UO-31,0
Amifostine,5-Fluorouracil,HS 578T,0
Amifostine,5-Fluorouracil,HT29,0
Amifostine,5-Fluorouracil,IGROV1,0
Amifostine,5-Fluorouracil,LOX IMVI,0
Amifostine,5-Fluorouracil,MCF7,0
Amifostine,5-Fluorouracil,NCI-H460,0
Amifostine,5-Fluorouracil,PC-3,0
Amifostine,5-Fluorouracil,RPMI-8226,0
Amifostine,5-Fluorouracil,SK-MEL-2,0
Amifostine,5-Fluorouracil,T-47D,0
Amifostine,5-Fluorouracil,UO-31,0
Amifostine,Ifosfamide,HS 578T,1
Amifostine,Ifosfamide,HT29,0
Amifostine,Ifosfamide,IGROV1,0
Amifostine,Ifosfamide,LOX IMVI,0
Amifostine,Ifosfamide,MCF7,1
Amifostine,Ifosfamide,NCI-H460,0
Amifostine,Ifosfamide,PC-3,0
Amifostine,Ifosfamide,RPMI-8226,0
Amifostine,Ifosfamide,SK-MEL-2,0
Amifostine,Ifosfamide,T-47D,1
Amifostine,Ifosfamide,UO-31,0
Amifostine,Letrozole,HS 578T,0
Amifostine,Letrozole,HT29,0
Amifostine,Letrozole,IGROV1,0
Amifostine,Letrozole,MCF7,0
Amifostine,Letrozole,NCI-H460,0
Amifostine,Letrozole,PC-3,1
Amifostine,Letrozole,RPMI-8226,1
Amifostine,Letrozole,SK-MEL-2,1
Amifostine,Letrozole,T-47D,1
Amifostine,Letrozole,UO-31,0
Amifostine,Methoxsalen,HS 578T,0
Amifostine,Methoxsalen,HT29,0
Amifostine,Methoxsalen,IGROV1,0
Amifostine,Methoxsalen,LOX IMVI,0
Amifostine,Methoxsalen,MCF7,1
Amifostine,Methoxsalen,NCI-H460,0
Amifostine,Methoxsalen,PC-3,1
Amifostine,Methoxsalen,RPMI-8226,0
Amifostine,Methoxsalen,SK-MEL-2,0
Amifostine,Methoxsalen,T-47D,1
Amifostine,Methoxsalen,UO-31,0
Amifostine,Mitotane,HS 578T,1
Amifostine,Mitotane,HT29,1
Amifostine,Mitotane,IGROV1,1
Amifostine,Mitotane,LOX IMVI,1
Amifostine,Mitotane,MCF7,1
Amifostine,Mitotane,NCI-H460,1
Amifostine,Mitotane,PC-3,1
Amifostine,Mitotane,RPMI-8226,0
Amifostine,Mitotane,T-47D,1
Amifostine,Mitotane,UO-31,1
Amifostine,Mitoxantrone,HS 578T,0
Amifostine,Mitoxantrone,HT29,0
Amifostine,Mitoxantrone,IGROV1,0
Amifostine,Mitoxantrone,LOX IMVI,0
Amifostine,Mitoxantrone,MCF7,0
Amifostine,Mitoxantrone,NCI-H460,0
Amifostine,Mitoxantrone,PC-3,0
Amifostine,Mitoxantrone,RPMI-8226,1
Amifostine,Mitoxantrone,SK-MEL-2,0
Amifostine,Mitoxantrone,T-47D,0
Amifostine,Mitoxantrone,UO-31,0
Amifostine,Raloxifene,HS 578T,0
Amifostine,Raloxifene,HT29,1
Amifostine,Raloxifene,IGROV1,1
Amifostine,Raloxifene,LOX IMVI,0
Amifostine,Raloxifene,MCF7,0
Amifostine,Raloxifene,NCI-H460,0
Amifostine,Raloxifene,PC-3,0
Amifostine,Raloxifene,RPMI-8226,1
Amifostine,Raloxifene,SK-MEL-2,1
Amifostine,Raloxifene,T-47D,1
Amifostine,Raloxifene,UO-31,1
Amifostine,Imatinib,HS 578T,1
Amifostine,Imatinib,HT29,0
Amifostine,Imatinib,IGROV1,0
Amifostine,Imatinib,MCF7,0
Amifostine,Imatinib,NCI-H460,0
Amifostine,Imatinib,PC-3,1
Amifostine,Imatinib,RPMI-8226,0
Amifostine,Imatinib,T-47D,0
Amifostine,Imatinib,UO-31,0
Amifostine,Vorinostat,HS 578T,0
Amifostine,Vorinostat,HT29,0
Amifostine,Vorinostat,IGROV1,0
Amifostine,Vorinostat,MCF7,0
Amifostine,Vorinostat,NCI-H460,0
Amifostine,Vorinostat,PC-3,0
Amifostine,Vorinostat,RPMI-8226,0
Amifostine,Vorinostat,T-47D,1
Amifostine,Vorinostat,UO-31,0
Amifostine,Thalidomide,HS 578T,0
Amifostine,Thalidomide,HT29,1
Amifostine,Thalidomide,IGROV1,0
Amifostine,Thalidomide,LOX IMVI,1
Amifostine,Thalidomide,MCF7,0
Amifostine,Thalidomide,NCI-H460,0
Amifostine,Thalidomide,PC-3,0
Amifostine,Thalidomide,RPMI-8226,0
Amifostine,Thalidomide,SK-MEL-2,1
Amifostine,Thalidomide,T-47D,1
Amifostine,Thalidomide,UO-31,0
Amifostine,Thiotepa,HS 578T,0
Amifostine,Thiotepa,HT29,0
Amifostine,Thiotepa,IGROV1,0
Amifostine,Thiotepa,LOX IMVI,0
Amifostine,Thiotepa,MCF7,0
Amifostine,Thiotepa,NCI-H460,0
Amifostine,Thiotepa,PC-3,0
Amifostine,Thiotepa,RPMI-8226,0
Amifostine,Thiotepa,T-47D,0
Amifostine,Thiotepa,UO-31,0
Amifostine,Mitomycin C,HS 578T,0
Amifostine,Mitomycin C,HT29,0
Amifostine,Mitomycin C,IGROV1,0
Amifostine,Mitomycin C,LOX IMVI,0
Amifostine,Mitomycin C,MCF7,0
Amifostine,Mitomycin C,NCI-H460,0
Amifostine,Mitomycin C,PC-3,0
Amifostine,Mitomycin C,RPMI-8226,0
Amifostine,Mitomycin C,SK-MEL-2,0
Amifostine,Mitomycin C,T-47D,0
Amifostine,Mitomycin C,UO-31,0
Amifostine,Floxuridine,HS 578T,0
Amifostine,Floxuridine,HT29,0
Amifostine,Floxuridine,IGROV1,0
Amifostine,Floxuridine,LOX IMVI,0
Amifostine,Floxuridine,MCF7,0
Amifostine,Floxuridine,NCI-H460,0
Amifostine,Floxuridine,PC-3,0
Amifostine,Floxuridine,RPMI-8226,0
Amifostine,Floxuridine,T-47D,1
Amifostine,Floxuridine,UO-31,1
Amifostine,Azacitidine,HS 578T,0
Amifostine,Azacitidine,HT29,0
Amifostine,Azacitidine,IGROV1,0
Amifostine,Azacitidine,LOX IMVI,0
Amifostine,Azacitidine,MCF7,0
