drug1,drug2,cell,label
5-FU,ABT-888,HT29,1
5-FU,ABT-888,LOVO,0
5-FU,ABT-888,NCIH23,0
5-FU,ABT-888,NCIH460,0
5-FU,ABT-888,RKO,0
5-FU,ABT-888,RPMI7951,0
5-FU,AZD1775,HT29,0
5-FU,AZD1775,LOVO,0
5-FU,AZD1775,NCIH23,0
5-FU,AZD1775,NCIH460,1
5-FU,AZD1775,RKO,1
5-FU,AZD1775,RPMI7951,1
5-FU,BORTEZOMIB,A427,0
5-FU,BORTEZOMIB,HT29,0
5-FU,BORTEZOMIB,LOVO,0
5-FU,BORTEZOMIB,NCIH2122,0
5-FU,BORTEZOMIB,NCIH23,0
5-FU,BORTEZOMIB,NCIH460,0
5-FU,BORTEZOMIB,RPMI7951,0
5-FU,DASATINIB,A427,1
5-FU,DASATINIB,HT29,1
5-FU,DASATINIB,LOVO,1
5-FU,DASATINIB,NCIH2122,0
5-FU,DASATINIB,NCIH23,1
5-FU,DASATINIB,NCIH460,1
5-FU,DASATINIB,RKO,1
5-FU,DASATINIB,RPMI7951,1
5-FU,ERLOTINIB,A427,1
5-FU,ERLOTINIB,HT29,1
5-FU,ERLOTINIB,LOVO,1
5-FU,ERLOTINIB,NCIH2122,1
5-FU,ERLOTINIB,NCIH460,1
5-FU,ERLOTINIB,RKO,1
5-FU,ERLOTINIB,RPMI7951,1
5-FU,GELDANAMYCIN,HT29,0
5-FU,GELDANAMYCIN,LOVO,0
5-FU,GELDANAMYCIN,NCIH2122,0
5-FU,GELDANAMYCIN,NCIH23,0
5-FU,GELDANAMYCIN,NCIH460,0
5-FU,GELDANAMYCIN,RPMI7951,0
5-FU,L778123,A427,1
5-FU,L778123,HT29,1
5-FU,L778123,NCIH460,0
5-FU,LAPATINIB,A427,0
5-FU,LAPATINIB,LOVO,1
5-FU,LAPATINIB,NCIH23,0
5-FU,LAPATINIB,NCIH460,0
5-FU,LAPATINIB,RKO,1
5-FU,MK-4827,LOVO,0
5-FU,MK-4827,NCIH23,0
5-FU,MK-4827,NCIH460,0
5-FU,MK-4827,RKO,0
5-FU,MK-5108,HT29,1
5-FU,MK-5108,NCIH2122,0
5-FU,MK-5108,NCIH23,0
5-FU,MK-5108,NCIH460,0
5-FU,MK-5108,RKO,0
5-FU,MK-8669,A427,1
5-FU,MK-8669,HT29,1
5-FU,MK-8669,NCIH2122,1
5-FU,MK-8669,NCIH23,1
