Epoch	AUC_dev	PR_AUC	ACC	BACC	PREC	TPR	KAPPA	RECALL	f1_scores
0	0.6381	0.3764	0.7388	0.5041	0.8750	0.0086	0.0119	0.0086	0.0170
1	0.6429	0.3841	0.7382	0.5048	0.6250	0.0122	0.0140	0.0122	0.0240
2	0.6549	0.3996	0.7362	0.5310	0.4938	0.0979	0.0836	0.0979	0.1634
3	0.6580	0.4041	0.7398	0.5126	0.6000	0.0330	0.0362	0.0330	0.0626
4	0.6658	0.4125	0.7395	0.5399	0.5215	0.1187	0.1062	0.1187	0.1934
5	0.6739	0.4232	0.7356	0.5526	0.4928	0.1665	0.1337	0.1665	0.2489
6	0.6706	0.4251	0.7417	0.5462	0.5369	0.1334	0.1217	0.1334	0.2137
7	0.6826	0.4393	0.7456	0.5480	0.5722	0.1310	0.1276	0.1310	0.2131
8	0.6832	0.4390	0.7469	0.5756	0.5486	0.2142	0.1881	0.2142	0.3081
9	0.6995	0.4474	0.7427	0.5925	0.5208	0.2754	0.2179	0.2754	0.3603
10	0.7067	0.4609	0.7391	0.6019	0.5070	0.3121	0.2324	0.3121	0.3864
11	0.7079	0.4607	0.7440	0.5634	0.5399	0.1824	0.1612	0.1824	0.2726
12	0.7143	0.4623	0.7433	0.5610	0.5373	0.1763	0.1557	0.1763	0.2654
13	0.7173	0.4650	0.7456	0.6153	0.5255	0.3403	0.2600	0.3403	0.4131
14	0.7103	0.4643	0.7424	0.5993	0.5181	0.2974	0.2302	0.2974	0.3779
15	0.7254	0.4839	0.7485	0.6137	0.5359	0.3293	0.2596	0.3293	0.4079
16	0.7280	0.4887	0.7478	0.6050	0.5368	0.3035	0.2441	0.3035	0.3878
17	0.7265	0.4851	0.7510	0.5808	0.5692	0.2215	0.2012	0.2215	0.3189
18	0.7222	0.4869	0.7504	0.6064	0.5465	0.3023	0.2484	0.3023	0.3893
19	0.7269	0.4717	0.7478	0.6164	0.5327	0.3390	0.2636	0.3390	0.4144
20	0.7347	0.4995	0.7404	0.6515	0.5074	0.4639	0.3116	0.4639	0.4847
21	0.7333	0.4866	0.7543	0.6106	0.5603	0.3072	0.2587	0.3072	0.3968
22	0.7195	0.4687	0.7501	0.5692	0.5774	0.1873	0.1767	0.1873	0.2828
23	0.7389	0.5060	0.7324	0.6496	0.4911	0.4749	0.3024	0.4749	0.4829
24	0.7332	0.5017	0.7462	0.6322	0.5237	0.3917	0.2878	0.3917	0.4482
25	0.7340	0.4985	0.7481	0.6253	0.5311	0.3660	0.2784	0.3660	0.4333
26	0.7417	0.5137	0.7575	0.6230	0.5653	0.3390	0.2823	0.3390	0.4239
27	0.7407	0.5136	0.7433	0.6425	0.5147	0.4296	0.3009	0.4296	0.4683
