Epoch	AUC_dev	PR_AUC	ACC	BACC	PREC	TPR	KAPPA	RECALL	f1_scores
0	0.7925	0.7046	0.6533	0.6829	0.5463	0.8369	0.3369	0.8369	0.6611
1	0.8035	0.7119	0.7106	0.7058	0.6316	0.6809	0.4065	0.6809	0.6553
2	0.8139	0.7259	0.7507	0.7280	0.7288	0.6099	0.4684	0.6099	0.6641
3	0.8181	0.7309	0.7507	0.7212	0.7547	0.5674	0.4608	0.5674	0.6478
4	0.8234	0.7442	0.7479	0.7222	0.7345	0.5887	0.4591	0.5887	0.6535
5	0.8227	0.7346	0.7536	0.7339	0.7236	0.6312	0.4776	0.6312	0.6742
6	0.8309	0.7534	0.7622	0.7297	0.7900	0.5603	0.4819	0.5603	0.6556
7	0.8357	0.7585	0.7650	0.7469	0.7360	0.6525	0.5030	0.6525	0.6917
8	0.8357	0.7552	0.7650	0.7423	0.7521	0.6241	0.4984	0.6241	0.6822
9	0.8416	0.7590	0.7622	0.7559	0.6986	0.7234	0.5090	0.7234	0.7108
10	0.8383	0.7558	0.7765	0.7645	0.7333	0.7021	0.5327	0.7021	0.7174
11	0.8353	0.7500	0.7622	0.7422	0.7377	0.6383	0.4952	0.6383	0.6844
12	0.8372	0.7540	0.7536	0.7190	0.7835	0.5390	0.4612	0.5390	0.6387
13	0.8491	0.7666	0.7564	0.7249	0.7745	0.5603	0.4707	0.5603	0.6502
14	0.8455	0.7602	0.7593	0.7353	0.7478	0.6099	0.4849	0.6099	0.6719
15	0.8471	0.7612	0.7536	0.7304	0.7350	0.6099	0.4739	0.6099	0.6667
16	0.8514	0.7709	0.7736	0.7838	0.6782	0.8369	0.5470	0.8369	0.7492
17	0.8407	0.7571	0.7650	0.7572	0.7063	0.7163	0.5132	0.7163	0.7113
18	0.8492	0.7765	0.7679	0.7585	0.7143	0.7092	0.5175	0.7092	0.7117
19	0.8489	0.7668	0.7794	0.7635	0.7500	0.6809	0.5349	0.6809	0.7138
20	0.8558	0.7782	0.7736	0.7518	0.7627	0.6383	0.5173	0.6383	0.6950
21	0.8498	0.7731	0.7650	0.7538	0.7153	0.6950	0.5099	0.6950	0.7050
22	0.8555	0.7863	0.7908	0.7834	0.7394	0.7447	0.5661	0.7447	0.7420
23	0.8575	0.7787	0.7765	0.7588	0.7520	0.6667	0.5273	0.6667	0.7068
24	0.8550	0.7803	0.7880	0.7753	0.7519	0.7092	0.5556	0.7092	0.7299
25	0.8569	0.7871	0.7822	0.7773	0.7211	0.7518	0.5509	0.7518	0.7361
26	0.8596	0.7879	0.7765	0.7600	0.7480	0.6738	0.5284	0.6738	0.7090
27	0.8533	0.7812	0.7822	0.7819	0.7097	0.7801	0.5549	0.7801	0.7432
28	0.8545	0.7841	0.7765	0.7771	0.7006	0.7801	0.5442	0.7801	0.7383
29	0.8630	0.7882	0.7622	0.7696	0.6706	0.8085	0.5220	0.8085	0.7331
30	0.8521	0.7796	0.7822	0.7773	0.7211	0.7518	0.5509	0.7518	0.7361
31	0.8593	0.7887	0.7765	0.7702	0.7172	0.7376	0.5380	0.7376	0.7273
32	0.8629	0.7907	0.7908	0.7765	0.7615	0.7021	0.5601	0.7021	0.7306
33	0.8572	0.7905	0.7765	0.7622	0.7405	0.6879	0.5305	0.6879	0.7132
34	0.8503	0.7797	0.7822	0.7533	0.8095	0.6028	0.5284	0.6028	0.6911
35	0.8666	0.8032	0.7880	0.7730	0.7597	0.6950	0.5536	0.6950	0.7259
36	0.8588	0.7906	0.7794	0.7601	0.7623	0.6596	0.5317	0.6596	0.7072
37	0.8637	0.7923	0.7880	0.7673	0.7815	0.6596	0.5484	0.6596	0.7154
38	0.8542	0.7844	0.7650	0.7606	0.6980	0.7376	0.5165	0.7376	0.7172
39	0.8533	0.7881	0.7708	0.7586	0.7259	0.6950	0.5207	0.6950	0.7101
40	0.8566	0.7938	0.7765	0.7542	0.7692	0.6383	0.5228	0.6383	0.6977
41	0.8554	0.7982	0.7765	0.7497	0.7890	0.6099	0.5183	0.6099	0.6880
42	0.8550	0.7948	0.7536	0.7521	0.6774	0.7447	0.4964	0.7447	0.7095
43	0.8621	0.8095	0.7765	0.7542	0.7692	0.6383	0.5228	0.6383	0.6977
44	0.8618	0.8109	0.7765	0.7577	0.7561	0.6596	0.5262	0.6596	0.7045
45	0.8588	0.7992	0.7822	0.7613	0.7731	0.6525	0.5361	0.6525	0.7077
46	0.8607	0.8033	0.7765	0.7531	0.7739	0.6312	0.5217	0.6312	0.6953
47	0.8576	0.7952	0.7765	0.7588	0.7520	0.6667	0.5273	0.6667	0.7068
48	0.8614	0.8027	0.7736	0.7587	0.7385	0.6809	0.5240	0.6809	0.7085
49	0.8621	0.8003	0.7679	0.7539	0.7273	0.6809	0.5130	0.6809	0.7033
50	0.8628	0.8046	0.7880	0.7810	0.7343	0.7447	0.5607	0.7447	0.7394
51	0.8662	0.8119	0.7851	0.7660	0.7705	0.6667	0.5439	0.6667	0.7148
52	0.8576	0.7978	0.7593	0.7490	0.7050	0.6950	0.4991	0.6950	0.7000
53	0.8686	0.8070	0.7937	0.7972	0.7143	0.8156	0.5812	0.8156	0.7616
54	0.8640	0.8010	0.7794	0.7578	0.7712	0.6454	0.5295	0.6454	0.7027
55	0.8637	0.8025	0.7679	0.7573	0.7174	0.7021	0.5164	0.7021	0.7097
56	0.8666	0.8129	0.7851	0.7763	0.7357	0.7305	0.5532	0.7305	0.7331
57	0.8659	0.8102	0.7736	0.7530	0.7583	0.6454	0.5184	0.6454	0.6973
58	0.8611	0.8103	0.7650	0.7561	0.7092	0.7092	0.5121	0.7092	0.7092
59	0.8712	0.8110	0.7822	0.7899	0.6923	0.8298	0.5618	0.8298	0.7548
60	0.8696	0.8128	0.7679	0.7607	0.7083	0.7234	0.5197	0.7234	0.7158
61	0.8551	0.7947	0.7736	0.7518	0.7627	0.6383	0.5173	0.6383	0.6950
62	0.8727	0.8173	0.7851	0.7729	0.7463	0.7092	0.5502	0.7092	0.7273
63	0.8661	0.8105	0.7851	0.7626	0.7845	0.6454	0.5406	0.6454	0.7082
